DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
CAT 3 CONF 6 LATITUDE;"INFORMATIQUE";;"IRAP12-1135";;"CNRS";;;;"DELL ";877,00;297844;"L06561";;;;;"29060856000--2006-125";;;"D'USTON";;04/05/2012
SUPPORT WELLER VBHS;"INSTRUMENTATION";;"IRAP12-1136";;"CNRS";;;;"CLI";1000,00;28749131;"L06554";;;;;"29060689000--2006-115";;;"THOCAVEN";;26/04/2012
FABRY PEROT;"OPTIQUE";"OPTIQUE";"IRAP98-0001";;"CNRS";;;;;2439,18;;;21540000;;;;"1097";;;;;"31/12/1998"
ZEMAX XE TO EE UPGRADE;"OPTIQUE";"LOGICIEL OPTIQUE";"IRAP99-0002";;"CNRS";;;;;857,68;;;21830000;;;;"147";;;;;"09/02/1999"
PIED SUPPORT 5 ANNEAUX;"OPTIQUE";"MATERIEL OPTIQUE";"IRAP99-0003";;"CNRS";;;;;1523,73;;;21540000;;;;"161";;;;;"23/02/1999"
SERVEUR ULTRA 10S;"INFORMATIQUE";;"IRAP99-0004";;"CNRS";;;;;8918,27;;;21830000;;;;"163";;;;;"03/03/1999"
FILTRE LIQUIDE ACIER INO;;;"IRAP99-0005";;"CNRS";;;;;1729,33;;;21540000;;;;"166";;;;;"04/03/1999"
ALIMENTATION DECOUPAGE;"ELECTRONIQUE";"ALIMENTATION";"IRAP99-0006";;"CNRS";;;;;6672,09;;;21540000;;;;"167";;;;;"04/03/1999"
BOITIER TOUR ATX;"INFORMATIQUE";;"IRAP99-0007";;"CNRS";;;;;1783,65;;;21830000;;;;"168";;;;;"10/03/1999"
DTK PENTIUM II 350;"INFORMATIQUE";;"IRAP99-0008";;"CNRS";;;;;2836,92;;;21830000;;;;"169";;;;;"10/03/1999"
LICENCE IDL 12123;"INFORMATIQUE";"LOGICIEL OPTIQUE";"IRAP99-0009";;"CNRS";;;;;1250,08;;;20530000;;;;"170";;;;;"22/03/1999"
COMMUTATEUR BS450-24T;"INFORMATIQUE";;"IRAP99-0010";;"CNRS";;;;;1425,40;;;21830000;;;;"171";;;;;"24/03/1999"
OSCILLATEUR PARAMETRIQUE;"ELECTRONIQUE";;"IRAP99-0011";;"CNRS";;;;;16039,92;;;21540000;;;;"173";;;;;"19/05/1999"
LASER YAG SURELITE;"OPTIQUE";;"IRAP99-0012";;"CNRS";;;;;27912,65;;;21540000;;;;"175";;;;;"19/05/1999"
COMPRESS COOLPAK 6000;"INSTRUMENTATION";;"IRAP99-0013";;"CNRS";;;;;15333,36;;;21540000;;;;"176";;;;;"14/06/1999"
CAPTEUR CCD;"OPTIQUE";;"IRAP99-0014";;"CNRS";;;;;1448,27;;;21540000;;;;"177";;;;;"16/06/1999"
PONT SF AIRONET 11MBITS;;;"IRAP99-0015";;"CNRS";;;;;2433,09;;;21830000;;;;"178";;;;;"22/06/1999"
